City,DATE,PRCP,TAVG
Minneapolis,2017-06-06,0,71
Roanoke,2017-06-06,0,70
Los Angeles,2017-06-07,0,63
Miami,2017-06-07,1.94,77
Fairbanks,2017-06-07,0,67
Minneapolis,2017-06-07,0.02,74
Roanoke,2017-06-07,0,64
Los Angeles,2017-06-08,0,63
Miami,2017-06-08,0.33,80
Fairbanks,2017-06-08,0,71
Minneapolis,2017-06-08,0,78
Roanoke,2017-06-08,0.05,63
Los Angeles,2017-06-09,0,64
Miami,2017-06-09,0.35,81
Fairbanks,2017-06-09,0,75
Minneapolis,2017-06-09,0,75
Roanoke,2017-06-09,0,67
Los Angeles,2017-06-10,0,64
Miami,2017-06-10,0,81
Fairbanks,2017-06-10,0,75
Minneapolis,2017-06-10,0,83
Roanoke,2017-06-10,0,71
Los Angeles,2017-06-11,0,64
Miami,2017-06-11,0,85
Fairbanks,2017-06-11,1.03,61
Minneapolis,2017-06-11,1.82,76
Roanoke,2017-06-11,0,77
Los Angeles,2017-06-12,0,63
Miami,2017-06-12,0.04,85
Fairbanks,2017-06-12,0.26,52
Minneapolis,2017-06-12,0.2,72
Roanoke,2017-06-12,0,78
Los Angeles,2017-06-13,0,64
Miami,2017-06-13,0,84
Fairbanks,2017-06-13,0,51
Minneapolis,2017-06-13,0.14,75
Roanoke,2017-06-13,0.83,79
Los Angeles,2017-06-14,0,67
Miami,2017-06-14,0.19,83
Fairbanks,2017-06-14,0,56
Minneapolis,2017-06-14,0.08,77
Roanoke,2017-06-14,0.05,76
Los Angeles,2017-06-15,0,69
Miami,2017-06-15,0.19,83
Fairbanks,2017-06-15,0,59
Minneapolis,2017-06-15,0,77
Roanoke,2017-06-15,1.58,74
Los Angeles,2017-06-16,0,70
Miami,2017-06-16,0.16,80
Fairbanks,2017-06-16,0.12,60
Minneapolis,2017-06-16,0,76
Roanoke,2017-06-16,0.08,72
Los Angeles,2017-06-17,0,68
Miami,2017-06-17,0.07,83
Fairbanks,2017-06-17,0.02,57
Minneapolis,2017-06-17,0.2,75
Roanoke,2017-06-17,0.4,73
Los Angeles,2017-06-18,0,66
Miami,2017-06-18,0.23,83
Fairbanks,2017-06-18,0.17,59
Minneapolis,2017-06-18,0.01,66
Roanoke,2017-06-18,0.05,76
Los Angeles,2017-06-19,0,66
Miami,2017-06-19,1.48,81
Fairbanks,2017-06-19,0.06,62
Minneapolis,2017-06-19,0,67
Roanoke,2017-06-19,0.3,77
Los Angeles,2017-06-20,0,65
Miami,2017-06-20,0,85
Fairbanks,2017-06-20,0,61
Minneapolis,2017-06-20,0.25,67
Roanoke,2017-06-20,0,73
Los Angeles,2017-06-21,0,66
Miami,2017-06-21,0.01,85
Fairbanks,2017-06-21,0,63
Minneapolis,2017-06-21,0,70
Roanoke,2017-06-21,0,76
Los Angeles,2017-06-22,0,67
Miami,2017-06-22,0,85
Fairbanks,2017-06-22,0.01,65
Minneapolis,2017-06-22,0.49,71
Roanoke,2017-06-22,0.02,77
Los Angeles,2017-06-23,0,66
Miami,2017-06-23,0,85
Fairbanks,2017-06-23,0.06,67
Minneapolis,2017-06-23,0,66
Roanoke,2017-06-23,0.03,77
Los Angeles,2017-06-24,0,65
Miami,2017-06-24,0,86
Fairbanks,2017-06-24,0,64
Minneapolis,2017-06-24,0,62
Roanoke,2017-06-24,0.05,78
Los Angeles,2017-06-25,0,68
Miami,2017-06-25,0,86
Fairbanks,2017-06-25,0,62
Minneapolis,2017-06-25,0,60
Roanoke,2017-06-25,0,72
Los Angeles,2017-06-26,0,71
Miami,2017-06-26,0,86
Fairbanks,2017-06-26,0,62
Minneapolis,2017-06-26,0,62
Roanoke,2017-06-26,0,68
Los Angeles,2017-06-27,0,71
Miami,2017-06-27,0.25,84
Fairbanks,2017-06-27,0,67
Minneapolis,2017-06-27,0,66
Roanoke,2017-06-27,0,70
Los Angeles,2017-06-28,0,67
Miami,2017-06-28,0.69,84
Fairbanks,2017-06-28,0,65
Minneapolis,2017-06-28,0.91,71
Roanoke,2017-06-28,0,67
Los Angeles,2017-06-29,0,67
Miami,2017-06-29,1.63,84
Fairbanks,2017-06-29,0,67
Minneapolis,2017-06-29,0,71
Roanoke,2017-06-29,0,73
Los Angeles,2017-06-30,0,66
Miami,2017-06-30,0.1,85
Fairbanks,2017-06-30,0,69
Minneapolis,2017-06-30,0.11,71
Roanoke,2017-06-30,0,76
Los Angeles,2017-07-01,0,65
Miami,2017-07-01,0,87
Fairbanks,2017-07-01,0,66
Minneapolis,2017-07-01,0.01,69
Roanoke,2017-07-01,0,80
Los Angeles,2017-07-02,0,67
Miami,2017-07-02,0,86
Fairbanks,2017-07-02,0.83,65
Minneapolis,2017-07-02,0,72
Roanoke,2017-07-02,0,80
Los Angeles,2017-07-03,0,67
Miami,2017-07-03,0,87
Fairbanks,2017-07-03,0.09,61
Minneapolis,2017-07-03,0,73
Roanoke,2017-07-03,0,78
Los Angeles,2017-07-04,0,67
Miami,2017-07-04,0,86
Fairbanks,2017-07-04,0,61
Minneapolis,2017-07-04,0,76
Roanoke,2017-07-04,0.16,78
Los Angeles,2017-07-05,0,68
Miami,2017-07-05,0.01,87
Fairbanks,2017-07-05,0,67
Minneapolis,2017-07-05,0,80
Roanoke,2017-07-05,0.48,74
Los Angeles,2017-07-06,0,69
Miami,2017-07-06,0.01,87
Fairbanks,2017-07-06,0,71
Minneapolis,2017-07-06,0,83
Roanoke,2017-07-06,0.16,74
Los Angeles,2017-07-07,0,72
Miami,2017-07-07,0,87
Fairbanks,2017-07-07,0.14,73
Minneapolis,2017-07-07,0,78
Roanoke,2017-07-07,0,79
Los Angeles,2017-07-08,0,76
Miami,2017-07-08,0,86
Fairbanks,2017-07-08,0.04,68
Minneapolis,2017-07-08,0,73
Roanoke,2017-07-08,0,79
Los Angeles,2017-07-09,0,77
Miami,2017-07-09,0,86
Fairbanks,2017-07-09,0.01,68
Minneapolis,2017-07-09,0.37,75
Roanoke,2017-07-09,0,75
Los Angeles,2017-07-10,0,75
Miami,2017-07-10,1.69,85
Fairbanks,2017-07-10,0.23,62
Minneapolis,2017-07-10,0,76
Roanoke,2017-07-10,0,77
Los Angeles,2017-07-11,0,72
Miami,2017-07-11,0.02,84
Fairbanks,2017-07-11,0.06,58
Minneapolis,2017-07-11,0,77
Roanoke,2017-07-11,0,79
Los Angeles,2017-07-12,0,70
Miami,2017-07-12,5.49,84
Fairbanks,2017-07-12,0,61
Minneapolis,2017-07-12,0.03,80
Roanoke,2017-07-12,0,82
Los Angeles,2017-07-13,0,69
Miami,2017-07-13,0.2,83
Fairbanks,2017-07-13,0.02,67
Minneapolis,2017-07-13,0,68
Roanoke,2017-07-13,0.04,82
Los Angeles,2017-07-14,0,68
Miami,2017-07-14,0,86
Fairbanks,2017-07-14,0,69
Minneapolis,2017-07-14,0,67
Roanoke,2017-07-14,0,80
Los Angeles,2017-07-15,0,70
Miami,2017-07-15,0,86
Fairbanks,2017-07-15,0,71
Minneapolis,2017-07-15,0,76
Roanoke,2017-07-15,0,81
Los Angeles,2017-07-16,0,73
Miami,2017-07-16,0,85
Fairbanks,2017-07-16,0,66
Minneapolis,2017-07-16,0,78
Roanoke,2017-07-16,0,77
Los Angeles,2017-07-17,0,72
Miami,2017-07-17,0.02,85
Fairbanks,2017-07-17,0,68
Minneapolis,2017-07-17,0.63,79
Roanoke,2017-07-17,0,78
Los Angeles,2017-07-18,0,72
Miami,2017-07-18,1.15,82
Fairbanks,2017-07-18,0,67
Minneapolis,2017-07-18,0.08,77
Roanoke,2017-07-18,0.06,79
Los Angeles,2017-07-19,0,71
Miami,2017-07-19,0.1,83
Fairbanks,2017-07-19,0,68
Minneapolis,2017-07-19,1.17,72
Roanoke,2017-07-19,0,79
Los Angeles,2017-07-20,0,72
Miami,2017-07-20,0.06,84
Fairbanks,2017-07-20,0.01,70
Minneapolis,2017-07-20,0,75
Roanoke,2017-07-20,0,83
Los Angeles,2017-07-21,0,71
Miami,2017-07-21,2.29,83
Fairbanks,2017-07-21,0.08,66
Minneapolis,2017-07-21,0,77
Roanoke,2017-07-21,0,83
Los Angeles,2017-07-22,0,71
Miami,2017-07-22,0,84
Fairbanks,2017-07-22,0,62
Minneapolis,2017-07-22,0,79
Roanoke,2017-07-22,0,84
Los Angeles,2017-07-23,0,71
Miami,2017-07-23,0,86
Fairbanks,2017-07-23,0.08,69
Minneapolis,2017-07-23,0,75
Roanoke,2017-07-23,0.63,86
Los Angeles,2017-07-24,0,71
Miami,2017-07-24,0,87
Fairbanks,2017-07-24,0.17,65
Minneapolis,2017-07-24,0,69
Roanoke,2017-07-24,0.25,81
Los Angeles,2017-07-25,0,71
Miami,2017-07-25,0.05,86
Fairbanks,2017-07-25,0,58
Minneapolis,2017-07-25,0.39,73
Roanoke,2017-07-25,0,81
Los Angeles,2017-07-26,0,70
Miami,2017-07-26,0,87
Fairbanks,2017-07-26,0,63
Minneapolis,2017-07-26,0.44,77
Roanoke,2017-07-26,0,75
Los Angeles,2017-07-27,0,70
Miami,2017-07-27,0.06,87
Fairbanks,2017-07-27,0,64
Minneapolis,2017-07-27,0,76
Roanoke,2017-07-27,0.02,76
Los Angeles,2017-07-28,0,70
Miami,2017-07-28,0.01,86
Fairbanks,2017-07-28,0.1,65
Minneapolis,2017-07-28,0,76
Roanoke,2017-07-28,0.23,74
Los Angeles,2017-07-29,0,70
Miami,2017-07-29,0.3,85
Fairbanks,2017-07-29,0.08,64
Minneapolis,2017-07-29,0,75
Roanoke,2017-07-29,0.04,72
Los Angeles,2017-07-30,0,71
Miami,2017-07-30,0.03,86
Fairbanks,2017-07-30,0,65
Minneapolis,2017-07-30,0,77
Roanoke,2017-07-30,0,71
Los Angeles,2017-07-31,0,68
Miami,2017-07-31,0.96,80
Fairbanks,2017-07-31,0,67
Minneapolis,2017-07-31,0,78
Roanoke,2017-07-31,0,72
Los Angeles,2017-08-01,0,71
Miami,2017-08-01,0.57,81
Fairbanks,2017-08-01,0.02,64
Minneapolis,2017-08-01,0,77
Roanoke,2017-08-01,0,77
Los Angeles,2017-08-02,0,76
Miami,2017-08-02,0,83
Fairbanks,2017-08-02,0.16,60
Minneapolis,2017-08-02,0,76
Roanoke,2017-08-02,0,74
Los Angeles,2017-08-03,0,77
Miami,2017-08-03,0,87
Fairbanks,2017-08-03,0.04,59
Minneapolis,2017-08-03,0.29,64
Roanoke,2017-08-03,0,75
Los Angeles,2017-08-04,0,75
Miami,2017-08-04,0,87
Fairbanks,2017-08-04,0,62
Minneapolis,2017-08-04,0,63
Roanoke,2017-08-04,0.01,76
Los Angeles,2017-08-05,0,72
Miami,2017-08-05,0,88
Fairbanks,2017-08-05,0,64
Minneapolis,2017-08-05,0.29,68
Roanoke,2017-08-05,0,73
Los Angeles,2017-08-06,0,72
Miami,2017-08-06,0.05,87
Fairbanks,2017-08-06,0.06,68
Minneapolis,2017-08-06,0.09,67
Roanoke,2017-08-06,0,69
Los Angeles,2017-08-07,0,71
Miami,2017-08-07,0.03,87
Fairbanks,2017-08-07,0.01,70
Minneapolis,2017-08-07,0,68
Roanoke,2017-08-07,0.69,75
Los Angeles,2017-08-08,0,71
Miami,2017-08-08,0,87
Fairbanks,2017-08-08,0,68
Minneapolis,2017-08-08,0,73
Roanoke,2017-08-08,0.01,74
Los Angeles,2017-08-09,0,71
Miami,2017-08-09,0,88
Fairbanks,2017-08-09,0,66
Minneapolis,2017-08-09,0.57,70
Roanoke,2017-08-09,0,73
Los Angeles,2017-08-10,0,70
Miami,2017-08-10,0.94,84
Fairbanks,2017-08-10,0,68
Minneapolis,2017-08-10,0.1,66
Roanoke,2017-08-10,0,70
Los Angeles,2017-08-11,0,69
Miami,2017-08-11,0.32,83
Fairbanks,2017-08-11,0,61
Minneapolis,2017-08-11,0,68
Roanoke,2017-08-11,0.07,73
Los Angeles,2017-08-12,0,69
Miami,2017-08-12,0,85
Fairbanks,2017-08-12,0.11,61
Minneapolis,2017-08-12,0,70
Roanoke,2017-08-12,0.06,75
Los Angeles,2017-08-13,0,69
Miami,2017-08-13,0,87
Fairbanks,2017-08-13,0.5,62
Minneapolis,2017-08-13,1,67
Roanoke,2017-08-13,0,77
Los Angeles,2017-08-14,0,69
Miami,2017-08-14,0,87
Fairbanks,2017-08-14,0.08,56
Minneapolis,2017-08-14,0.01,66
Roanoke,2017-08-14,0,74
Los Angeles,2017-08-15,0,68
Miami,2017-08-15,0.06,87
Fairbanks,2017-08-15,0.16,56
Minneapolis,2017-08-15,0,68
Roanoke,2017-08-15,0.07,76
Los Angeles,2017-08-16,0,69
Miami,2017-08-16,0,87
Fairbanks,2017-08-16,0.17,56
Minneapolis,2017-08-16,1.94,70
Roanoke,2017-08-16,0,79
Los Angeles,2017-08-17,0,69
Miami,2017-08-17,0,88
Fairbanks,2017-08-17,0.07,52
Minneapolis,2017-08-17,0.08,70
Roanoke,2017-08-17,0.02,81
Los Angeles,2017-08-18,0,69
Miami,2017-08-18,0.5,88
Fairbanks,2017-08-18,0.19,50
Minneapolis,2017-08-18,0.16,66
Roanoke,2017-08-18,0,81
Los Angeles,2017-08-19,0,69
Miami,2017-08-19,0.05,87
Fairbanks,2017-08-19,0.15,50
Minneapolis,2017-08-19,0,69
Roanoke,2017-08-19,0,78
Los Angeles,2017-08-20,0,69
Miami,2017-08-20,0.36,84
Fairbanks,2017-08-20,0.11,51
Minneapolis,2017-08-20,0,75
Roanoke,2017-08-20,0,78
Los Angeles,2017-08-21,0,70
Miami,2017-08-21,0.36,87
Fairbanks,2017-08-21,0,56
Minneapolis,2017-08-21,0.19,72
Roanoke,2017-08-21,0.28,80
Los Angeles,2017-08-22,0,70
Miami,2017-08-22,0.13,86
Fairbanks,2017-08-22,0.11,55
Minneapolis,2017-08-22,0,68
Roanoke,2017-08-22,0,80
Los Angeles,2017-08-23,0,69
Miami,2017-08-23,0.87,83
Fairbanks,2017-08-23,0,53
Minneapolis,2017-08-23,0,67
Roanoke,2017-08-23,0,80
Los Angeles,2017-08-24,0,68
Miami,2017-08-24,1.14,81
Fairbanks,2017-08-24,0,57
Minneapolis,2017-08-24,0.01,66
Roanoke,2017-08-24,0,73
Los Angeles,2017-08-25,0,69
Miami,2017-08-25,1.33,79
Fairbanks,2017-08-25,0,56
Minneapolis,2017-08-25,0.55,65
Roanoke,2017-08-25,0,70
Los Angeles,2017-08-26,0,69
Miami,2017-08-26,0.53,79
Fairbanks,2017-08-26,0.01,58
Minneapolis,2017-08-26,1.22,64
Roanoke,2017-08-26,0,72
Los Angeles,2017-08-27,0,68
Miami,2017-08-27,1.26,81
Fairbanks,2017-08-27,0.12,54
Minneapolis,2017-08-27,0.24,67
Roanoke,2017-08-27,0.02,71
Los Angeles,2017-08-28,0,69
Miami,2017-08-28,0.01,83
Fairbanks,2017-08-28,0.08,54
Minneapolis,2017-08-28,0,66
Roanoke,2017-08-28,0,69
Los Angeles,2017-08-29,0,72
Miami,2017-08-29,0.06,85
Fairbanks,2017-08-29,0,53
Minneapolis,2017-08-29,0,68
Roanoke,2017-08-29,0.91,66
Los Angeles,2017-08-30,0,74
Miami,2017-08-30,0,87
Fairbanks,2017-08-30,0,54
Minneapolis,2017-08-30,0.01,72
Roanoke,2017-08-30,0.17,69
Los Angeles,2017-08-31,0,77
Miami,2017-08-31,0,88
Fairbanks,2017-08-31,0,51
Minneapolis,2017-08-31,0,65
Roanoke,2017-08-31,0,71
Los Angeles,2017-09-01,0,80
Miami,2017-09-01,0.45,88
Fairbanks,2017-09-01,0,54
Minneapolis,2017-09-01,0,62
Roanoke,2017-09-01,0.7,66
Los Angeles,2017-09-02,0,81
Miami,2017-09-02,1.03,83
Fairbanks,2017-09-02,0,47
Minneapolis,2017-09-02,0,70
Roanoke,2017-09-02,0.32,56
Los Angeles,2017-09-03,0,84
Miami,2017-09-03,0,85
Fairbanks,2017-09-03,0,47
Minneapolis,2017-09-03,0,71
Roanoke,2017-09-03,0,66
Los Angeles,2017-09-04,0.06,76
Miami,2017-09-04,0,85
Fairbanks,2017-09-04,0,55
Minneapolis,2017-09-04,0.07,71
Roanoke,2017-09-04,0,70
Los Angeles,2017-09-05,0,74
Miami,2017-09-05,0,86
Fairbanks,2017-09-05,0.16,53
Minneapolis,2017-09-05,0,57
Roanoke,2017-09-05,0.02,74
Los Angeles,2017-09-06,0,72
Miami,2017-09-06,0,85
Fairbanks,2017-09-06,0,58
Minneapolis,2017-09-06,0,58
Roanoke,2017-09-06,0.55,65
Los Angeles,2017-09-07,0,71
Miami,2017-09-07,0,87
Fairbanks,2017-09-07,0.03,52
Minneapolis,2017-09-07,0,60
Roanoke,2017-09-07,0,59
Los Angeles,2017-09-08,0,70
Miami,2017-09-08,0,88
Fairbanks,2017-09-08,0,49
Minneapolis,2017-09-08,0,61
Roanoke,2017-09-08,0,61
Los Angeles,2017-09-09,0,70
Miami,2017-09-09,1.78,85
Fairbanks,2017-09-09,0.02,54
Minneapolis,2017-09-09,0,62
Roanoke,2017-09-09,0,62
Los Angeles,2017-09-10,0,70
Miami,2017-09-10,5.18,79
Fairbanks,2017-09-10,0,51
Minneapolis,2017-09-10,0,68
Roanoke,2017-09-10,0,59
Los Angeles,2017-09-11,0,73
Miami,2017-09-11,0,89
Fairbanks,2017-09-11,0,49
Minneapolis,2017-09-11,0,71
Roanoke,2017-09-11,0.01,59
Los Angeles,2017-09-12,0,70
Miami,2017-09-12,0,85
Fairbanks,2017-09-12,0,48
Minneapolis,2017-09-12,0,73
Roanoke,2017-09-12,0.67,61
Los Angeles,2017-09-13,0,68
Miami,2017-09-13,0,85
Fairbanks,2017-09-13,0,51
Minneapolis,2017-09-13,0,75
Roanoke,2017-09-13,0.05,70
Los Angeles,2017-09-14,0,68
Miami,2017-09-14,0,85
Fairbanks,2017-09-14,0,49
Minneapolis,2017-09-14,0,77
Roanoke,2017-09-14,0.03,69
Los Angeles,2017-09-15,0,68
Miami,2017-09-15,0,85
Fairbanks,2017-09-15,0,50
Minneapolis,2017-09-15,0,78
Roanoke,2017-09-15,0,67
Los Angeles,2017-09-16,0,69
Miami,2017-09-16,0.01,86
Fairbanks,2017-09-16,0,48
Minneapolis,2017-09-16,0.04,75
Roanoke,2017-09-16,0,70
Los Angeles,2017-09-17,0,68
Miami,2017-09-17,0,85
Fairbanks,2017-09-17,0,48
Minneapolis,2017-09-17,0,60
Roanoke,2017-09-17,0.03,71
Los Angeles,2017-09-18,0,67
Miami,2017-09-18,0,84
Fairbanks,2017-09-18,0.03,48
Minneapolis,2017-09-18,0.37,57
Roanoke,2017-09-18,0,73
Los Angeles,2017-09-19,0,69
Miami,2017-09-19,0,85
Fairbanks,2017-09-19,0.03,49
Minneapolis,2017-09-19,0,65
Roanoke,2017-09-19,0,71
Los Angeles,2017-09-20,0,69
Miami,2017-09-20,0,85
Fairbanks,2017-09-20,0.01,41
Minneapolis,2017-09-20,0.04,72
Roanoke,2017-09-20,0,73
Los Angeles,2017-09-21,0.02,68
Miami,2017-09-21,2.29,84
Fairbanks,2017-09-21,0.05,42
Minneapolis,2017-09-21,0,67
Roanoke,2017-09-21,0,74
Los Angeles,2017-09-22,0,65
Miami,2017-09-22,2.17,82
Fairbanks,2017-09-22,0.17,46
Minneapolis,2017-09-22,0,81
Roanoke,2017-09-22,0,76
Los Angeles,2017-09-23,0,64
Miami,2017-09-23,0.43,83
Fairbanks,2017-09-23,0.01,47
Minneapolis,2017-09-23,0,83
Roanoke,2017-09-23,0,74
Los Angeles,2017-09-24,0,67
Miami,2017-09-24,0.01,84
Fairbanks,2017-09-24,0.02,48
Minneapolis,2017-09-24,0,81
Roanoke,2017-09-24,0,72
Los Angeles,2017-09-25,0,72
Miami,2017-09-25,0,85
Fairbanks,2017-09-25,0.34,46
Minneapolis,2017-09-25,0.41,66
Roanoke,2017-09-25,0,73
Los Angeles,2017-09-26,0,71
Miami,2017-09-26,0.32,83
Fairbanks,2017-09-26,0.01,45
Minneapolis,2017-09-26,0.11,60
Roanoke,2017-09-26,0,75
Los Angeles,2017-09-27,0,69
Miami,2017-09-27,0,83
Fairbanks,2017-09-27,0,44
Minneapolis,2017-09-27,0,57
Roanoke,2017-09-27,0,76
Los Angeles,2017-09-28,0,68
Miami,2017-09-28,0,83
Fairbanks,2017-09-28,0.54,44
Minneapolis,2017-09-28,0,61
Roanoke,2017-09-28,0,78
Los Angeles,2017-09-29,0,70
Miami,2017-09-29,1.3,81
Fairbanks,2017-09-29,0,38
Minneapolis,2017-09-29,0,58
Roanoke,2017-09-29,0,67
Los Angeles,2017-09-30,0,69
Miami,2017-09-30,0,82
Fairbanks,2017-09-30,0,35
Minneapolis,2017-09-30,0,57
Roanoke,2017-09-30,0,65
Los Angeles,2017-10-01,0,68
Miami,2017-10-01,0.02,85
Fairbanks,2017-10-01,0,40
Minneapolis,2017-10-01,0.29,60
Roanoke,2017-10-01,0,57
Los Angeles,2017-10-02,0,68
Miami,2017-10-02,0.92,83
Fairbanks,2017-10-02,0,44
Minneapolis,2017-10-02,2.18,61
Roanoke,2017-10-02,0,56
Los Angeles,2017-10-03,0,67
Miami,2017-10-03,0.2,83
Fairbanks,2017-10-03,0,45
Minneapolis,2017-10-03,0.12,65
Roanoke,2017-10-03,0,60
Los Angeles,2017-10-04,0,66
Miami,2017-10-04,1.87,81
Fairbanks,2017-10-04,0,46
Minneapolis,2017-10-04,0,54
Roanoke,2017-10-04,0,62
Los Angeles,2017-10-05,0,67
Miami,2017-10-05,2.8,80
Fairbanks,2017-10-05,0,39
Minneapolis,2017-10-05,0,55
Roanoke,2017-10-05,0,67
Los Angeles,2017-10-06,0,69
Miami,2017-10-06,0,84
Fairbanks,2017-10-06,0,40
Minneapolis,2017-10-06,0.44,55
Roanoke,2017-10-06,0,70
Los Angeles,2017-10-07,0,73
Miami,2017-10-07,0,85
Fairbanks,2017-10-07,0,43
Minneapolis,2017-10-07,0.17,57
Roanoke,2017-10-07,0.02,67
Los Angeles,2017-10-08,0,69
Miami,2017-10-08,0,85
Fairbanks,2017-10-08,0.12,41
Minneapolis,2017-10-08,0,60
Roanoke,2017-10-08,0.51,71
Los Angeles,2017-10-09,0,69
Miami,2017-10-09,0.08,84
Fairbanks,2017-10-09,0.14,38
Minneapolis,2017-10-09,0,53
Roanoke,2017-10-09,0.67,77
Los Angeles,2017-10-10,0,69
Miami,2017-10-10,0.01,85
Fairbanks,2017-10-10,1.4,37
Minneapolis,2017-10-10,0,44
Roanoke,2017-10-10,0.01,75
Los Angeles,2017-10-11,0,66
Miami,2017-10-11,0,83
Fairbanks,2017-10-11,0.02,38
Minneapolis,2017-10-11,0,47
Roanoke,2017-10-11,1.06,77
Los Angeles,2017-10-12,0,66
Miami,2017-10-12,0.36,82
Fairbanks,2017-10-12,0.13,32
Minneapolis,2017-10-12,0,56
Roanoke,2017-10-12,0,70
Los Angeles,2017-10-13,0,65
Miami,2017-10-13,0.11,82
Fairbanks,2017-10-13,0.15,36
Minneapolis,2017-10-13,0,54
Roanoke,2017-10-13,0.06,61
Los Angeles,2017-10-14,0,67
Miami,2017-10-14,0.08,84
Fairbanks,2017-10-14,0,35
Minneapolis,2017-10-14,0.53,51
Roanoke,2017-10-14,0,66
Los Angeles,2017-10-15,0,73
Miami,2017-10-15,0,83
Fairbanks,2017-10-15,0,35
Minneapolis,2017-10-15,0.03,47
Roanoke,2017-10-15,0,69
Los Angeles,2017-10-16,0,76
Miami,2017-10-16,0.79,82
Fairbanks,2017-10-16,0.04,30
Minneapolis,2017-10-16,0,50
Roanoke,2017-10-16,0,63
Los Angeles,2017-10-17,0,75
Miami,2017-10-17,0,82
Fairbanks,2017-10-17,0,28
Minneapolis,2017-10-17,0,59
Roanoke,2017-10-17,0,51
Los Angeles,2017-10-18,0,73
Miami,2017-10-18,0.02,82
Fairbanks,2017-10-18,0.05,29
Minneapolis,2017-10-18,0,61
Roanoke,2017-10-18,0,52
Los Angeles,2017-10-19,0,69
Miami,2017-10-19,0.06,82
Fairbanks,2017-10-19,0,21
Minneapolis,2017-10-19,0,57
Roanoke,2017-10-19,0,56
Los Angeles,2017-10-20,0,67
Miami,2017-10-20,0.09,83
Fairbanks,2017-10-20,0,12
Minneapolis,2017-10-20,0,63
Roanoke,2017-10-20,0,61
Los Angeles,2017-10-21,0,67
Miami,2017-10-21,0.08,82
Fairbanks,2017-10-21,0,8
Minneapolis,2017-10-21,0.45,65
Roanoke,2017-10-21,0,61
Los Angeles,2017-10-22,0,72
Miami,2017-10-22,0,84
Fairbanks,2017-10-22,0,13
Minneapolis,2017-10-22,0,55
Roanoke,2017-10-22,0,62
Los Angeles,2017-10-23,0,79
Miami,2017-10-23,0,83
Fairbanks,2017-10-23,0,6
Minneapolis,2017-10-23,0,55
Roanoke,2017-10-23,1.35,63
Los Angeles,2017-10-24,0,84
Miami,2017-10-24,2.35,81
Fairbanks,2017-10-24,0.03,19
Minneapolis,2017-10-24,0,45
Roanoke,2017-10-24,0,59
Los Angeles,2017-10-25,0,86
Miami,2017-10-25,0.45,75
Fairbanks,2017-10-25,0.01,28
Minneapolis,2017-10-25,0,46
Roanoke,2017-10-25,0,52
Los Angeles,2017-10-26,0,77
Miami,2017-10-26,0,69
Fairbanks,2017-10-26,0,33
Minneapolis,2017-10-26,0,48
Roanoke,2017-10-26,0,49
Los Angeles,2017-10-27,0,71
Miami,2017-10-27,0,74
Fairbanks,2017-10-27,0.1,34
Minneapolis,2017-10-27,0.25,35
Roanoke,2017-10-27,0,50
Los Angeles,2017-10-28,0,65
Miami,2017-10-28,2.18,79
Fairbanks,2017-10-28,0,32
Minneapolis,2017-10-28,0,33
Roanoke,2017-10-28,0.18,57
Los Angeles,2017-10-29,0,64
Miami,2017-10-29,0.14,75
Fairbanks,2017-10-29,0,32
Minneapolis,2017-10-29,0.03,34
Roanoke,2017-10-29,0.32,52
Los Angeles,2017-10-30,0,66
Miami,2017-10-30,0,65
Fairbanks,2017-10-30,0.25,30
Minneapolis,2017-10-30,0,38
Roanoke,2017-10-30,0,46
Los Angeles,2017-10-31,0,65
Miami,2017-10-31,0,69
Fairbanks,2017-10-31,0,31
Minneapolis,2017-10-31,0,31
Roanoke,2017-10-31,0,52
Los Angeles,2017-11-01,0,66
Miami,2017-11-01,0,75
Fairbanks,2017-11-01,0,29
Minneapolis,2017-11-01,0.05,31
Roanoke,2017-11-01,0,50
Los Angeles,2017-11-02,0.07,64
Miami,2017-11-02,0,77
Fairbanks,2017-11-02,0,24
Minneapolis,2017-11-02,0,37
Roanoke,2017-11-02,0,58
Los Angeles,2017-11-03,0.02,64
Miami,2017-11-03,0.05,77
Fairbanks,2017-11-03,0.1,30
Minneapolis,2017-11-03,0.05,33
Roanoke,2017-11-03,0,63
Los Angeles,2017-11-04,0,64
Miami,2017-11-04,0.01,77
Fairbanks,2017-11-04,0,29
Minneapolis,2017-11-04,0.02,36
Roanoke,2017-11-04,0.32,57
Los Angeles,2017-11-05,0,64
Miami,2017-11-05,0,77
Fairbanks,2017-11-05,0,23
Minneapolis,2017-11-05,0.07,38
Roanoke,2017-11-05,0,50
Los Angeles,2017-11-06,0,63
Miami,2017-11-06,0,79
Fairbanks,2017-11-06,0,22
Minneapolis,2017-11-06,0,27
Roanoke,2017-11-06,0.02,59
Los Angeles,2017-11-07,0,65
Miami,2017-11-07,0,79
Fairbanks,2017-11-07,0,14
Minneapolis,2017-11-07,0,31
Roanoke,2017-11-07,0.04,55
Los Angeles,2017-11-08,0,65
Miami,2017-11-08,0,79
Fairbanks,2017-11-08,0.07,15
Minneapolis,2017-11-08,0,32
Roanoke,2017-11-08,0.04,43
Los Angeles,2017-11-09,0,65
Miami,2017-11-09,0,80
Fairbanks,2017-11-09,0.09,17
Minneapolis,2017-11-09,0,26
Roanoke,2017-11-09,0.08,46
